Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,217000,233000,217000,229000,226171.1563,454949
2018-06-21,231500,232000,225000,226000,223208.2031,368767
2018-06-22,223500,229000,220000,227000,224195.8594,261954
2018-06-25,226500,228000,225000,225500,222714.375,228996
2018-06-26,220500,227000,220000,224000,221232.9219,293594
2018-06-27,224000,230500,223500,225500,222714.375,290414
2018-06-28,223000,223500,218500,220000,217282.3281,270729
2018-06-29,219500,220500,210000,214000,211356.4375,594795
2018-07-02,215000,220000,212500,214000,211356.4375,280539
2018-07-03,219500,224000,207500,212500,209874.9844,427152
2018-07-04,213000,218000,212000,213000,210368.8125,159798
2018-07-05,212500,216000,207000,215000,212344.0781,264247
2018-07-06,213000,232000,207500,231000,228146.4375,853958
2018-07-09,230500,237500,229500,232500,229627.9219,420448
2018-07-10,236500,236500,224500,228500,225677.3281,372521
2018-07-11,223000,229000,223000,225000,222220.5625,284263
2018-07-12,223000,235000,223000,233500,230615.5469,454859
2018-07-13,235000,244000,234000,237000,234072.3125,439815
2018-07-16,238000,238000,226500,229000,226171.1563,303560
2018-07-17,229000,231500,225500,228500,225677.3281,195158
2018-07-18,231500,235000,226500,227000,224195.8594,254611
2018-07-19,227500,239000,226500,235000,232097.0313,377469
2018-07-20,235500,236000,229500,232000,229134.0938,314316
2018-07-23,229000,231000,219000,220500,217776.1406,440882
2018-07-24,221000,228500,220000,228000,225183.5,302173
2018-07-25,229000,238500,227500,230000,227158.7969,455816
2018-07-26,230500,232500,226500,231500,228640.2656,326994
2018-07-27,230500,236000,229000,234500,231603.2188,270918
2018-07-30,237000,240500,225000,228000,225183.5,621510
2018-07-31,227500,233000,224500,229000,226171.1563,324057
2018-08-01,230000,233000,224000,226000,223208.2031,313975
2018-08-02,226500,232000,225000,226500,223702.0313,321154
2018-08-03,229500,232000,226000,231000,228146.4375,246206
2018-08-06,232000,233000,224000,225000,222220.5625,302011
2018-08-07,223000,227000,223000,226500,223702.0313,168539
2018-08-08,227000,229500,225000,225500,222714.375,225652
2018-08-09,226000,230000,222500,228500,225677.3281,318853
2018-08-10,228000,228000,212500,213500,210862.625,625069
2018-08-13,213000,217000,211500,215000,212344.0781,303402
2018-08-14,216000,216000,211000,214500,211850.2656,216559
2018-08-16,210000,217500,210000,216500,213825.5625,250060
2018-08-17,218000,219500,213000,213500,210862.625,173818
2018-08-20,215500,217500,208000,208000,205430.5625,349589
2018-08-21,209000,218000,207500,217000,214319.375,318915
2018-08-22,217500,218500,214000,215500,212837.9063,217180
2018-08-23,216000,221000,214500,219500,216788.5,196747
2018-08-24,218500,225000,217500,224000,221232.9219,204084
2018-08-27,226000,234000,224500,233000,230121.75,394144
2018-08-28,234500,239000,230000,230000,227158.7969,427115
2018-08-29,232000,236000,229500,235500,232590.8594,356040
2018-08-30,235500,239000,233000,235500,232590.8594,297809
2018-08-31,235000,240000,232000,236000,233084.6719,284273
2018-09-03,237500,244000,235500,242500,239504.375,428249
2018-09-04,244500,245000,241500,245000,241973.5,270820
2018-09-05,246000,246000,240500,242500,239504.375,301486
2018-09-06,240500,245000,237500,242000,239010.5625,280531
2018-09-07,242000,244500,235500,239000,236047.6094,362020
2018-09-10,238000,244500,238000,244000,240985.8594,218309
2018-09-11,246000,255000,245500,249500,246417.9063,498612
2018-09-12,251500,254000,241500,247500,244442.6094,409317
2018-09-13,245000,248000,238000,238500,235553.7969,571739
2018-09-14,242000,248000,241500,245000,241973.5,251884
2018-09-17,245500,248500,242000,246500,243454.9844,198381
2018-09-18,243000,255000,240500,255000,251849.9688,428081
2018-09-19,257000,258500,253500,256500,253331.4219,355187
2018-09-20,255000,258500,251500,253500,250368.5,297512
2018-09-21,256500,257000,252000,256000,252837.625,298991
2018-09-27,262000,263500,257500,261000,257775.8438,358058
2018-09-28,261500,262000,254500,258500,255306.7188,335811
2018-10-01,259500,261000,251000,252500,249380.8438,317594
2018-10-02,254500,259000,250000,250000,246911.7344,229183
2018-10-04,250000,252500,241000,244000,240985.8594,390712
2018-10-05,242000,243000,231000,237000,234072.3125,595906
2018-10-08,235500,247500,234000,239000,236047.6094,356685
2018-10-10,242500,243000,232500,238500,235553.7969,341200
2018-10-11,230000,234500,226500,227000,224195.8594,419946
2018-10-12,228500,245000,228500,244000,240985.8594,516051
2018-10-15,244000,249500,241000,243500,240492.0469,283646
2018-10-16,245500,249500,242500,243500,240492.0469,188273
2018-10-17,251000,255000,248000,250500,247405.5625,277392
2018-10-18,252500,256500,250500,252500,249380.8438,265114
2018-10-19,248500,254000,244000,252500,249380.8438,285410
2018-10-22,251000,254000,247500,251000,247899.375,168401
2018-10-23,251000,251000,236000,239500,236541.4375,514080
2018-10-24,240000,241500,219500,222500,219751.4375,811416
2018-10-25,214000,229500,214000,229500,226664.9844,676719
2018-10-26,233500,235500,218000,232000,229134.0938,676184
2018-10-29,238000,239500,226000,229000,226171.1563,644243
2018-10-30,228000,238000,222000,235000,232097.0313,519730
2018-10-31,237000,238000,230000,235500,232590.8594,346165
2018-11-01,239500,241000,227500,228500,225677.3281,490359
2018-11-02,230500,234500,226000,234500,231603.2188,600951
2018-11-05,233500,238000,229000,236000,233084.6719,307340
2018-11-06,238000,238500,230500,234500,231603.2188,265428
2018-11-07,233000,235500,227500,229500,226664.9844,280171
2018-11-08,235000,237000,229000,229000,226171.1563,456112
2018-11-09,229000,229000,215500,216500,213825.5625,698588
2018-11-12,213000,219500,211000,219000,216294.6875,426379
2018-11-13,212500,217500,208000,216000,213331.75,480455
2018-11-14,216000,220500,216000,217500,214813.2188,269948
2018-11-15,215500,223000,213500,222000,219257.6094,254921
2018-11-16,222500,224000,219500,220000,217282.3281,269773
2018-11-19,221500,226000,220000,222500,219751.4375,244912
2018-11-20,218000,218500,207000,209000,206418.2188,594077
2018-11-21,202500,211000,200000,210500,207899.6875,559824
2018-11-22,211000,211000,207500,208500,205924.375,231947
2018-11-23,208000,209500,200000,201500,199010.8594,485282
2018-11-26,199500,207500,199000,206000,203455.2813,328729
2018-11-27,209000,210500,203500,209500,206912.0469,399162
2018-11-28,210000,210000,206000,209000,206418.2188,227915
2018-11-29,213500,215000,208500,209500,206912.0469,277132
2018-11-30,210500,214500,206000,206500,203949.0781,407748
2018-12-03,211500,222000,211000,221000,218269.9844,511045
2018-12-04,221000,223500,217000,218500,215800.8594,440517
2018-12-05,213500,217000,212000,216500,213825.5625,224291
2018-12-06,216500,217000,206000,208000,205430.5625,376562
2018-12-07,210000,212000,207500,208000,205430.5625,205321
2018-12-10,204500,206000,201000,204000,201479.9844,266379
2018-12-11,206000,207500,202000,203500,200986.1406,278367
2018-12-12,206500,210500,203500,208500,205924.375,421767
2018-12-13,211000,218000,209500,216000,213331.75,656263
2018-12-14,215000,215500,203000,205500,202961.4531,459055
2018-12-17,204500,208000,201500,207000,204442.9219,282481
2018-12-18,202500,207000,201500,202500,199998.5,229498
2018-12-19,204000,213000,203500,211000,208393.5,336919
2018-12-20,209000,213000,207000,210000,207405.8438,294353
2018-12-21,211500,222500,211500,221000,218269.9844,706872
2018-12-24,222000,223000,215000,218500,215800.8594,309873
2018-12-26,213500,224500,213500,218000,215307.0313,440953
2018-12-27,226000,226500,219000,220500,218779.7188,311555
2018-12-28,221000,223000,216000,219000,217291.4375,195928
2019-01-02,222000,224000,208500,210500,208857.75,345548
2019-01-03,209000,209500,202000,203000,201416.25,484354
2019-01-04,201500,204000,194000,201000,199431.8594,474274
2019-01-07,209000,219500,208500,217000,215307.0313,549913
2019-01-08,218000,219500,213000,218500,216795.3438,310061
2019-01-09,220500,227000,219000,226500,224732.9219,455066
2019-01-10,226000,228500,224000,227000,225229.0156,277278
2019-01-11,227500,232000,226500,231000,229197.8125,246538
2019-01-14,229500,234000,228000,232000,230190.0156,192426
2019-01-15,232000,238000,231000,236500,234654.9063,309743
2019-01-16,236500,240000,233500,240000,238127.5938,279141
2019-01-17,240000,240000,231000,232000,230190.0156,368565
2019-01-18,233000,238500,230000,232500,230686.1094,339781
2019-01-21,233000,236500,228500,236500,234654.9063,257564
2019-01-22,236500,237500,229000,229000,227213.4375,262273
2019-01-23,228000,233500,228000,230500,228701.7188,230664
2019-01-24,229000,230000,225000,225500,223740.7188,469060
2019-01-25,224500,232500,223500,232500,230686.1094,389228
2019-01-28,233500,233500,226000,232000,230190.0156,730017
2019-01-29,230000,233500,226500,229000,227213.4375,391118
2019-01-30,229000,230000,225000,228000,226221.2031,324592
2019-01-31,230000,230500,223500,223500,221756.3438,369895
2019-02-01,224000,228500,224000,227000,225229.0156,287383
2019-02-07,230000,241000,230000,240000,238127.5938,692664
2019-02-08,238000,245000,237500,238500,236639.2969,350405
2019-02-11,240000,242500,234500,236500,234654.9063,249074
2019-02-12,237000,241000,235000,236500,234654.9063,360752
2019-02-13,238500,242000,236000,238500,236639.2969,402745
2019-02-14,238500,240500,236000,240500,238623.7031,398668
2019-02-15,239500,240000,234000,236000,234158.7969,310514
2019-02-18,238000,245000,237000,245000,243088.5938,448850
2019-02-19,245500,251000,243000,247500,245569.0781,488307
2019-02-20,247500,249000,244000,248000,246065.1719,331080
2019-02-21,246500,246500,242000,243500,241600.2813,315655
2019-02-22,243000,243000,236000,241000,239119.7969,450936
2019-02-25,241500,246000,241000,245500,243584.6875,274017
2019-02-26,245000,247500,239000,240500,238623.7031,255796
2019-02-27,240500,241000,237500,239000,237135.4063,318688
2019-02-28,241000,244000,236000,237500,235647.1094,389523
2019-03-04,241500,241500,237000,238500,236639.2969,372829
2019-03-05,237000,237000,228000,230500,228701.7188,486809
2019-03-06,230500,233500,227500,232500,230686.1094,260434
2019-03-07,232000,233500,222000,224500,222748.5313,494256
2019-03-08,221000,224000,218000,220500,218779.7188,364236
2019-03-11,220500,221000,215000,217500,215803.125,350400
2019-03-12,220500,221000,214000,215500,213818.75,481531
2019-03-13,215500,219000,213500,218000,216299.2344,438178
2019-03-14,218500,218500,211000,212000,210346.0313,824142
2019-03-15,212000,213500,209000,211500,209849.9375,622951
2019-03-18,211000,211000,207000,209500,207865.5625,509906
2019-03-19,209500,213500,208500,210000,208361.6563,496654
